java.lang.StringBuilder	count=109972	duplicates=109971
java.lang.String	count=79069	duplicates=79068
android.widget	count=46146	duplicates=46145
android.graphics	count=26623	duplicates=26622
java.lang.Object	count=20231	duplicates=20230
java.lang.Integer	count=19714	duplicates=19713
android.view	count=16521	duplicates=16520
java.lang.StringBuffer	count=16395	duplicates=16394
android.util.Log	count=14378	duplicates=14377
java.util.ArrayList	count=13983	duplicates=13982
java.util.HashMap	count=13303	duplicates=13302
android.content.Intent	count=12470	duplicates=12469
android.os	count=10468	duplicates=10467
java.io.File	count=9357	duplicates=9356
android.content.Context	count=8508	duplicates=8507
java.net.HttpURLConnection	count=8261	duplicates=8260
android.database.Cursor	count=8048	duplicates=8047
java.io.ByteArrayOutputStream	count=7993	duplicates=7992
java.util.List	count=7672	duplicates=7671
java.util.Iterator	count=7503	duplicates=7502
android.app.Activity	count=6539	duplicates=6538
java.util.Vector	count=5778	duplicates=5777
java.io.InputStream	count=5326	duplicates=5325
java.lang.Exception	count=4987	duplicates=4986
android.content.ContentValues	count=4981	duplicates=4980
android.app.AlertDialog$Builder	count=4876	duplicates=4875
java.lang.System	count=4614	duplicates=4613
java.util.Map	count=4354	duplicates=4353
android.net.Uri#parse	count=3993	duplicates=3992
java.lang.Thread	count=3500	duplicates=3499
android.database.sqlite.SQLiteDatabase	count=3279	duplicates=3278
java.net.URL	count=3276	duplicates=3275
java.io.IOException	count=2746	duplicates=2745
java.lang.Long	count=2550	duplicates=2549
android.content.SharedPreferences	count=2499	duplicates=2498
java.lang.Math	count=2463	duplicates=2462
java.io.OutputStream	count=2434	duplicates=2433
java.util.LinkedList	count=2209	duplicates=2208
android.content.SharedPreferences$Editor	count=2122	duplicates=2121
java.io.DataInputStream	count=2001	duplicates=2000
java.io.FileOutputStream	count=1986	duplicates=1985
java.util.Timer	count=1742	duplicates=1741
java.lang.Class	count=1711	duplicates=1710
java.util.HashSet	count=1489	duplicates=1488
android.database.sqlite.SQLiteStatement	count=1485	duplicates=1484
java.io.DataOutputStream	count=1484	duplicates=1483
android.content.res.Resources	count=1470	duplicates=1469
java.lang.ref.WeakReference	count=1369	duplicates=1368
java.lang.Enum	count=1267	duplicates=1266
android.net.Uri#getScheme	count=1215	duplicates=1214
java.util.Set	count=1204	duplicates=1203
android.content.UriMatcher	count=1183	duplicates=1182
android.content.ContentResolver	count=1141	duplicates=1140
java.net.URLEncoder	count=1061	duplicates=1060
android.app.AlertDialog	count=1055	duplicates=1054
android.content.pm.PackageManager	count=1027	duplicates=1026
android.content.res.AssetManager	count=995	duplicates=994
java.util.Map$Entry	count=972	duplicates=971
java.io.BufferedReader	count=964	duplicates=963
java.lang.IllegalStateException	count=962	duplicates=961
java.io.FileInputStream	count=915	duplicates=914
java.lang.Boolean	count=876	duplicates=875
android.util.AttributeSet	count=854	duplicates=853
java.io.ByteArrayInputStream	count=844	duplicates=843
android.media.MediaPlayer	count=823	duplicates=822
java.util.regex.Pattern	count=820	duplicates=819
java.io.InputStreamReader	count=808	duplicates=807
java.text.SimpleDateFormat	count=789	duplicates=788
android.app.ProgressDialog	count=753	duplicates=752
java.util.Random	count=751	duplicates=750
java.lang.Double	count=742	duplicates=741
