android.permission.INTERNET	count=109	duplicates=108
android.permission.READ_PHONE_STATE	count=103	duplicates=102
android.permission.ACCESS_NETWORK_STATE	count=87	duplicates=86
android.permission.ACCESS_COARSE_LOCATION	count=87	duplicates=86
android.permission.WRITE_SMS	count=80	duplicates=79
android.permission.READ_SMS	count=80	duplicates=79
android.permission.ACCESS_WIFI_STATE	count=75	duplicates=74
android.permission.WRITE_EXTERNAL_STORAGE	count=52	duplicates=51
android.permission.WAKE_LOCK	count=47	duplicates=46
android.permission.ACCESS_FINE_LOCATION	count=34	duplicates=33
com.android.browser.permission.READ_HISTORY_BOOKMARKS	count=22	duplicates=21
android.permission.BROADCAST_STICKY	count=19	duplicates=18
android.permission.VIBRATE	count=19	duplicates=18
android.permission.READ_CONTACTS	count=12	duplicates=11
android.permission.RESTART_PACKAGES	count=10	duplicates=9
android.permission.CHANGE_NETWORK_STATE	count=9	duplicates=8
android.permission.WRITE_APN_SETTINGS	count=5	duplicates=4
android.permission.CHANGE_WIFI_STATE	count=5	duplicates=4
android.permission.RECEIVE_BOOT_COMPLETED	count=5	duplicates=4
android.permission.READ_LOGS	count=4	duplicates=3
android.permission.GET_PACKAGE_SIZE	count=4	duplicates=3
android.permission.SEND_SMS	count=1	duplicates=0
android.permission.CALL_PHONE	count=1	duplicates=0
android.permission.RECEIVE_SMS	count=1	duplicates=0
android.permission.MODIFY_PHONE_STATE	count=1	duplicates=0
android.permission.BROADCAST_WAP_PUSH	count=1	duplicates=0
android.permission.RECEIVE_MMS	count=1	duplicates=0
android.permission.CALL_PRIVILEGED	count=1	duplicates=0
android.permission.PROCESS_OUTGOING_CALLS	count=1	duplicates=0
android.permission.WRITE_SETTINGS	count=1	duplicates=0
android.permission.WRITE_CONTACTS	count=1	duplicates=0
android.permission.INSTALL_PACKAGES	count=1	duplicates=0
android.permission.GET_TASKS	count=1	duplicates=0
